Title,Company,Location,SalaryFit Score,Response Probability,Missing Skills,Verdict,URL
Python Engineer (AI Integration),Tugi Tark,European Union (Remote),$150/hr - $150/hr,45,25,RAG (Retrieval Augmented Generation) | MCPs (Model Context Protocols) | Web scraping & document processing | asyncio/async-await | Type hints/mypy/flake8 | pytest testing | OpenAI API | DSPy framework,Should not apply - significant gaps in core LLM/RAG requirements and visa sponsorship needs make this a poor fit despite strong ML background.,https://www.linkedin.com/jobs/view/4385447197/?eBP=CwEAAAGdIinVMvUi1Bo9FIZnl_qs26kR2CwbEj57aPmz_PBtCYmhfjIarJxoh8cAfjmNxwlnKK2eFS-nE9LK-QvitHvjUVl4ruMuI41naw563ArNcos6E5Yl2zS5dpRcZ8Ail7pt49AsORigcc--fEqDpdf1LgEkhI3Drl0RflRQSD9RfRrPZi7eMOfefNxn-dKLngmAonEKCuqSzj1-NHpFgQBB8jdyYJfTdaB-HFXOUJ7GSxHVOGYrnPyMZ2Lu8DGpKK8acslBl5dbafhPzMwzOgSv2HZm4sVYZzAaadDly4TCjYOk9zDI5Ota7DoELk9FFAmgs5N4bDCLHNpMgZJA_sGGAZaUOWP8hjP6lnm1t4FeCdX_CnWD2kGFqIfDSwHg8ICgL_uIKcSdmTtRDjVAQUiKerp_4rfQMFI_ZAP6DzdcH_EEoZwdpyDFYNpMDD5pXNcSEEi13Tt1XTUHw1fAenCUNDP1Bdov2dXrhwOJxY_1O5mKn0Fe1k7KtNsLYhQbMa4q__l9NcpgpXuR6mDBCqgKaCQUNP7araJnV8JzsA&refId=mOo%2B%2F5HE1p%2FjmkKGF8cywA%3D%3D&trackingId=Ep3q6UWoEyivlaNkl8WbqQ%3D%3D&trk=flagship3_search_srp_jobs
Senior Data Scientist – Anti-Cheat / Anti-Fraud (Deep Learning),A5 Labs,European Union (Remote),,45,25,Anti-fraud/anti-cheat experience | 5+ years experience | Behavioral/transactional data analysis | Transformer models | Trust & Safety background,Don't apply - the complete lack of fraud/security domain experience and being under the experience threshold makes this a poor fit despite strong technical skills.,https://www.linkedin.com/jobs/view/4382022271/?eBP=CwEAAAGdIi_VOGDJgPCcLodWb4YcRzV_mTrrHrRwC9zzhLr3GmFBVJGweK2Uvz7o8Y6ODO5A2f3BSHQnjAR9tjDsC0sQp2DS9UNmBPBjtzlPfpOXBUU3nX4dYg2DFJ6thXpcSwJYEwwq9SsdO5Ti78pX8KNVTC6eGU4R2dAQCCIxw5tDh4VB5DVD6hidhw_fA6NdryfV8RZ5eclcvzfRYnS5MJKyk1y8TL2XNkDf4b2S1XMy3C1tJyWF06o36R46fwBCQ7uTpppjdBHi0UyFLHzzqYaraS-7H4tkAJ6NVrpF9IGG_x17cxHrfv2tu8VGjcQeH8mbdn5gtbc87Q1GWnPVgEf6VUjzUg6dGvxwFJUPlfyAVwVhpb3pxdIEHaKJEGbHHsyC9Xz6oMniqRLOrNYb5TJ8-7vcPh106f0UaOn-oNywWBj7WlOMd18NEhM6yJQzabTiTZQOAdCFNxCiQPEMFq00tb3fsqfdnQslHXR9IpwSKcr6HpGKnnJPlQJc&refId=fpb3gVxDnfSwNCDzCdyIzA%3D%3D&trackingId=iMpuZUKaOFY6ElKfdd%2BvKQ%3D%3D&trk=flagship3_search_srp_jobs
Data Scientist,White Light Digital Marketing,Austria (Remote),"Salary starting from $1,900 USD per month",35,15,SQL expertise | Data visualization tools (Looker/Power BI) | APIs and web scraping | NLP/text analysis | Business/performance datasets | Dashboard building | ROI forecasting,Don't apply - significant skills gap in core requirements plus visa sponsorship needs make this extremely unlikely to succeed.,https://www.linkedin.com/jobs/view/4389765153/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5ZLJOkeH2gPAUTSaNIhc1w%3D%3D&trackingId=vDmyhTYLoZDZifWGkz23YA%3D%3D&trk=flagship3_search_srp_jobs
Senior Software Engineer,Confidential Careers,EMEA (Remote),$80/hr - $90/hr,35,15,5+ years professional software development | Modern web frameworks | Microservices architecture | Cloud platforms | Agile/Scrum experience | Database management | System integration,"Don't apply - this is a generic software engineering role requiring traditional web/cloud development experience, not ML specialization, and the candidate's research background doesn't demonstrate the required professional software development skills.",https://www.linkedin.com/jobs/view/4387576611/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=16THS%2FcDI9rpk8Rk%2FQ7Pcg%3D%3D&trackingId=GxmQHLddWtOz%2FQBqDxL6Ng%3D%3D&trk=flagship3_search_srp_jobs
AI Automation Engineer Intern,fiskaly,"Vienna, Vienna, Austria (Hybrid)",,35,25,n8n/Make.com/Zapier platforms | JavaScript | REST API/Webhooks practical experience | business process automation | low-code workflow design,"Should not apply - significant skill mismatch despite technical competence, and overqualification combined with visa requirements makes this unsuitable for both parties.",https://www.linkedin.com/jobs/view/4387081946/?eBP=CwEAAAGdIPYbbXZzMzhAk1HvvdU7x6C-_vUuE6Nqbft58J6IAA3KECoYLRG7PhFxxNSpO3lq5ULTQoWr5BevO_ZWXa9XNPQE6ju9rKj9qA6guf2gF_GU3Olq24NiQdJ0LLFVKQY824kvx0UOpLoq4_9UocECW-O19v46W38ercXRVZLFK22P_1METyCSQFARo8aAhl1rqT8unulFYQK_plO5rIj_OjoNKmhlfZ3LtFL6oL5UCY6bAwDmnR0X5xI64WLm1xwYO8ehAUsfFKpkmb84kREZK2fnBfbHGBSfU-eUWpo2Sy3chE55G-275RTWEo7P5LPh3Y17MX5duURJahGed0ziiZUTaf3SkjIinDSERiafDyokKjkpcQgHZpHUvMgWQeHqoFuHbLW-ODgO4P_5OsK5-I5PTZsupBoL-kths9FHP-1JlTTJRsFFe7UnykhpeoBJ4q_8CAok7UyAmk48Rqu79CX0iqXhOChUYAy-koHG1h_dnKbs7309jW64Zlvu0huyAgjA_-Z5ywQ0f7rf1cZXzYEZNwggWvpSyAg8ItZA&refId=S5dG7hA7gitj%2FuF%2F1EVMKw%3D%3D&trackingId=HMw%2FQnLjKuUGbTNhaHXdSQ%3D%3D&trk=flagship3_search_srp_jobs
Data Engineer / Analytics Engineer (w/m/d).,Helvetia Insurance Austria,"Breitenfurth bei Wien, Lower Austria, Austria (Hybrid)",$70/hr - $120/hr,35,15,SQL expertise and data modeling | Power BI or comparable BI tools | Cloud platforms (AWS/Azure) | Data engineering pipeline experience | German language proficiency (sehr gute Deutschkenntnisse required) | Professional data engineering experience,"Should not apply - the German language requirement alone disqualifies them, and their research ML background doesn't match the business-focused data engineering role requiring SQL, BI tools, and cloud platforms.",https://www.linkedin.com/jobs/view/4366165437/?eBP=CwEAAAGdIh-nQtfsc4kisMBQiwwn9HsGQkqcdchtsdJtIN96EZ7WOriH7Fy1A9Geav_1moPQ7tP0NV7VYCb_rrNCu4Y0jPXWc35tqmgXefQnWaV0KRBt2PsveapsaxrsLWp5YEGCMAf78exWiB7QoLDCWfkDGQZ9zrdGW2FoWJBgME2aV0u2hCaw2xgJA6B_jK_ep7Pl8K2tmiwi32_jnPC8qdDRMIo8bFWp5ZpdIkxtMrkbTeyrZH7gvM8RyMdPebMIDLCxU18YzZCGkzl-IvVf81-ifL1KN26PSsHLTU7YbosZrFr2RuWHsuIjjhQT9-8pkLxU-5jjQKReNusPTxZP7ED8n7h7a2TxSFqdoRcn9qUQmuM_Kpk7Kfur8wTa82Q5I2m_YNqe99KNYTpyUjgyZFO6BRIZaGPkKEUhcv5hAhTa7ODagl0eCIf_vmUuNUeAlHm2Zjy_Z9TvwkTb9mu-Iq1ox0huodQiMH4zdBr6AP4Wa2DjtyCta9Gl_YeMXlw9jBmgA63GxfWMXvJ0hhw6jaTjjWQjvB_ljMQ2&refId=nzZ4545q1QX76%2Bq2P487wA%3D%3D&trackingId=YPAq80ANL9XVJSpZJDKIKQ%3D%3D&trk=flagship3_search_srp_jobs
Freelance AI Evaluation Engineer (Python/Full-Stack),Mindrift,Austria (Remote),"On this project, contributors can earn up to $50 per hour equivalent, depending on their level and pace of contribution.",35,15,5+ years software development experience | Full-stack development with React | Backend systems development | pytest and test automation frameworks | CI/CD with GitHub Actions | Production software engineering experience,"Should not apply - this role requires a software engineer with full-stack web development experience, while the candidate is primarily an ML researcher without the necessary backend/frontend development background.",https://www.linkedin.com/jobs/view/4389000083/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=SxipRCNDeXBXJv8NU021FQ%3D%3D&trackingId=5hrBZnkMkmjWBKb8Viw3%2FA%3D%3D&trk=flagship3_search_srp_jobs
Python Developer | Remote,Crossing Hurdles,European Union (Remote),$150/hr - $150/hr,35,15,Full-stack development | JavaScript/ReactJS | C/C++/Java/Rust/Go | Production-grade web applications | Top-tier product company experience | Enterprise software development,Should not apply - this role requires extensive full-stack development experience and multi-language proficiency that this research-focused ML candidate lacks.,https://www.linkedin.com/jobs/view/4369854015/?eBP=CwEAAAGdIiG6w6uJYiFjY8AUx8OsNMJunbzSeStmUmP-i25icAoJrU1w3oGdnHShd_nDNcy3Z2a1HU59VeWv4Q6LA_tVmooeoc_VTyKkAHgW0gItU1c1v4AzIy38sXHKi6mgVsT_8UNV41oS3cMhFd-Fv3Gz8d33mPbAjrETfq0R-QrCvw6Bhf8Vsq1TVpak6gC0t2DgQdZdAK1axHnTzrYidY239FQAoRMneejN6vP712YKeLxApht8X-b5ix-Uo9Z6owEvRYP2lvPhcAna-aIGPzfvaisiyKLA7CJopmzKTdF8IheJzhko0I6ij4l9Yv8nUgOl5O1R9F8NbA8zJqUDYtGvZixrDna2_663033JfWIDxDWkx7nMsnOlvv8kbhREE4dDi6pYsHzts9sD0SP5hqAynhHwa3NlmujMSsyRNNrp-0E9w8ocXLAEcaUEUNk-rNvzu9BDA-rGaJVPfvaye9TV4UY-4s_-euJPKbAgNYKPyAHFzn24gGwnL7t9Md_PFL-PyfMZiZ-K5968H09K7lwU9mvqZMzJbuq0R1bMtkOP&refId=nCvEqlt3xN5R%2BanKsoHk3w%3D%3D&trackingId=z8yFuW4xCak0%2FrZgPzhE8w%3D%3D&trk=flagship3_search_srp_jobs
Backend Developer | Remote,Crossing Hurdles,European Union (Remote),$150/hr - $150/hr,35,15,JavaScript/ReactJS | C/C++/Java/Rust/Go | Full-stack web development | Production-grade application deployment | Top-tier product company experience | Multi-language codebase evaluation,Should not apply - this role requires extensive full-stack development experience and multi-language expertise that this research-focused candidate clearly lacks.,https://www.linkedin.com/jobs/view/4369837855/?eBP=CwEAAAGdIiIW5vgQcLHCRSdjfE0HzW1PDwaARHjZmGpqkVHGCcxJNNuCX0CUhSPUvNcK7il7imZ2dl6gZfpzqiyAQk2-RP3kiehLRbkAZnw-fEqnh_BKOdAL36lyiWQ65dVojEoeb6pOsMwUv9PvVxIcDHq1GhxUTrqLPFJgvsgd7j-08_9cyvtTqKOCk_Vlavqedz2sHmdvAcBrVucFH9P-oEEGLw5Exp_KPXreYwNh0vbMTV0wX3cWaN0sLdlvllwpFj3XtVigVJi9d3jzPqVaBbK1lsGACZCx52aN5OCdSuG01R33gnc8Tb34tCkUcybL30v1r9iLWbXyK6TT8NQPj_GX0I5qWzvJ4a4dlZi27p8d3EUqE5c4s_6kaxbt8beruWELgZaSTAs0KtBVEe1InwdeC7xOi5ZAk40sN0-vRbgEuiA1lGhiFb42OycZ_PFHUwOe_CeSEDnQb7EYMFtSW8fmAgI-c7u3hV7YX266F7ZgP4D3ZymEFNDVmP1wUhCLh5BjMs9HH5ACwcznOCM7PWpFuXbEkAeuZZuYfv08Wv90&refId=3pr621P44q712XlzSV1QjA%3D%3D&trackingId=9EsgNHQbXC4%2BNPkk5xX5Bw%3D%3D&trk=flagship3_search_srp_jobs
Senior NLP / ML Researcher (LLM Evaluation & Agentic Systems),Iris.ai,European Economic Area (Remote),$80/hr - $90/hr,35,15,PhD degree | NLP/transformers experience | LLM evaluation expertise | RAG systems | EU grant writing experience | 5+ years industry experience | Semantic search | Multilingual NLP,"Don't apply - this is a senior NLP researcher role requiring PhD + extensive LLM experience, while you're a junior-to-mid level candidate with primarily computer vision/RL background.",https://www.linkedin.com/jobs/view/4368722322/?eBP=CwEAAAGdIiOQ5mq66snyjvvp_csu1rbAx0AanLcPYw64ffpPvxNoXgRXkuYmazh62UlMG5nHitVft5TizoWGO9pkfxVvzFtI4HV-prs0eT7K1C7wjvKT1rKJ3rIvha4DpMegsREOJWumIET3LiMG2itZossdaTHbIWUZ8-6T5qX4_GRkdsXxZhp9_Gr0-Eq0OAb7tHbPk86hjJstumWW8s4oybUlx1O3Cdwhij6cHTa7K96zG1zidcD3vJMK9505HtXSqb6-dxbEtcG4qbVsMFDMeGMrUzOSIWjo9Cz8G9LdadCOv2jUp6WEBP-3Af8CBqYw5aGy83zMnwYTAt0b1ddL2iPDf8vRXYK0OncFgqqenPxR2W8ng4WE4SF52zGptK8NnCWt1Q07F68HkKMIv95DnS5QRPx20BW2i5FxOBx41Xn3eHsar1EsrwsU0MDuGMRLS2RngTwxB_OGHpf71rYtu7vX8o0A5HwNtDmjpa-o7hgoKj8jPOKWuiNB04oOoyp9wP-0rCfzBM4rWfp0mJ4EHSMhmoMgF_N5wrWIz3U&refId=SQUQtFMvRBCrUZBRojyRhw%3D%3D&trackingId=0RsyGInEhaKuttEPt7f%2FLQ%3D%3D&trk=flagship3_search_srp_jobs
Applied AI Data Scientist (CEO Office),TheSoul Group,European Economic Area (Remote),$80/hr - $90/hr,35,15,Russian language fluency | Kaggle Master+/competitive coding credentials | Content/media analytics | SQL production experience | Business strategy translation | LLM deployment | PB-scale data systems,"Should not apply due to missing hard requirements (Russian fluency, competitive coding credentials) and significant experience gap in business-focused content analytics.",https://www.linkedin.com/jobs/view/4378855023/?eBP=CwEAAAGdIiOQ5ocytd82qQZFQY6W86MNn9JZLkpWP_xfTcGW2usaP7zByLZtmVkuYt0jgJRGRl_qXr6rXUJsy8jIb3W9AFb67oiIwhW1CiYwYC95LVpfgp5iOqFkhULz4qUKxP7eGpWeNoE_0oNOLm6rJ0DC15nAOFjW9grxfLSbw0Mc0mSRwjpAFPvSYts6I-Tc0yd8ePzaks6gqmE5VZNxFzvaHWXm89QobuC6nnPr1Q4EmhJZyftD1PTxmD9HLJDaRyW692N9ERw11aG9jUtDUyTydtdW_Mb6sKl5xaqBw5r3m_5frC-_q-vA5Id9oMklGp8-xV_OzFjMpIu8_xU0jKlLHp8uy-y41ORq6YQd7w1NX6M7UDXARJEkACPyOjebfT9s7ZVTzVTCQKDKRE5476_b1U_wRalX7lSXpPUWDX4qwItpHc4Jnb5GDLaWm9v-4AFc3h6XLTO5Jkimg3BpaXFfwd2-g1qr5lMA6nJI9MJLJYxUC_xSfbI10mNmFijQ054PDNQxbWQbx0_zjzsNsLZJrY_kqrLgXw&refId=SQUQtFMvRBCrUZBRojyRhw%3D%3D&trackingId=z%2BOhDFw9eUbVadz0R38cyw%3D%3D&trk=flagship3_search_srp_jobs
(Senior) GenAI Engineer (m/f/d),Machine Learning Reply GmbH,"Vienna, Vienna, Austria (Hybrid)",We offer you for this position according to the collective agreement for employees in data processing and information technology a gross monthly salary of at least € 3215 (Consultant) or € 4286 (Senior Consultant) depending on your previous experience.,35,15,"Generative AI experience (GPT, DALL-E, Stable Diffusion, VAEs, GANs) | Cloud platforms (AWS/Azure) | CI/CD pipelines | JavaScript/TypeScript | Web services development | Agile/Scrum | Fluent German | GenAI consulting experience",Should not apply yet - the lack of GenAI experience and insufficient German skills make this a poor fit for an Austrian consulting role requiring client interaction.,https://www.linkedin.com/jobs/view/4387279681/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=kZi%2BOvi4Cxa%2FJQJSr7wCZA%3D%3D&trackingId=hyF91tiZ7CG1vqSn1Lnu%2Fg%3D%3D&trk=flagship3_search_srp_jobs
Experte / Expertin Künstliche Intelligenz & digitale Innovation (w/w/x),smc Steirer Mika & Comp. Wirtschaftsprüfung Steuerberatung GmbH,"Vienna, Austria (Hybrid)",,35,15,Business process analysis | Project management experience | German language proficiency | Financial/accounting domain knowledge | Client-facing communication | Change management | Training/workshop delivery | No-code/Low-code tools | BMD software knowledge,This candidate shouldn't apply as they're overqualified technically but severely underqualified for the business transformation and client-facing aspects this Austrian accounting firm actually needs.,https://www.linkedin.com/jobs/view/4388070729/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=11eNYtjaHVZ2rr%2BY71R5hQ%3D%3D&trackingId=cX1pUr4oudVn%2BrPi9AKwPg%3D%3D&trk=flagship3_search_srp_jobs
Software Engineer (Remote),Jobs Ai,EMEA (Remote),Hourly contract: $100–$200 per hour (based on experience and expertise),35,15,Traditional software engineering fundamentals | Scalable backend/infrastructure systems | Web development frameworks | Database design and optimization | System architecture beyond ML pipelines | Commercial software development experience,"This candidate should not apply - they're an ML researcher seeking software engineering roles, but this position requires broad software engineering skills they haven't demonstrated, and the high hourly rate suggests they want senior generalist engineers, not ML specialists transitioning careers.",https://www.linkedin.com/jobs/view/4389215913/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=UZnXTwumOF2TBYGU%2BjtZwA%3D%3D&trackingId=D8NPgLuLQRRwK3IFpvm5Sw%3D%3D&trk=flagship3_search_srp_jobs
Statistician with Python - Freelance AI Trainer,Mindrift,Austria (Remote),"On this project, contributors can earn up to $50 per hour equivalent, depending on their level and pace of contribution.",35,25,Formal Statistics degree | Professional statistics experience | Statsmodels library experience | Statistics problem design experience | AI model evaluation methodology,This candidate should not apply as their engineering/ML background doesn't match the specific statistics degree requirement and professional statistics experience needed for this AI trainer role.,https://www.linkedin.com/jobs/view/4389062604/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Xnk7QY743PiYEi6ZFNAOUw%3D%3D&trackingId=2g3QQ7S%2Bk%2BHEAuwcJTeIGA%3D%3D&trk=flagship3_search_srp_jobs
"Computer Vision Engineer, SLAM",Snap Inc.,"Vienna, Vienna, Austria",,25,15,C++ programming | SLAM algorithms | visual tracking systems | camera models | multi-view geometry | non-linear optimization | Kalman filtering | high-performance computer vision algorithms,"Should not apply - this is a classical computer vision SLAM role requiring C++ and CV fundamentals, while candidate has ML research background without the core technical requirements.",https://www.linkedin.com/jobs/view/4265243126/?eBP=CwEAAAGdIPNPHv4qr4APYiU9pjo-jEObfcaCCY-FMLLBV9njeSt2oQZTl_IOWq6LKomlIqZ0Atn-eRoJVW5OPOpm24-OCUt8LxOphn-QLiChEHKDVqyYfZLFiiAitUTzH1h2w7v55fFM0gwTBxhMAI0LL7QB3TqZdxqDzxd71ckDUWKNL5nUtSmfMuvmnIpNdwHzgHhS9l1dRO5lMeyOcUUsW0WHRWQJVG1CxVNEUMcSqtgo6vCf9ivA83IwOoqzEAfFNaNemiOVlrKrWA72n6LaIq36k4BPpVYiyApoqZ2a77BsORa2Adw-YFZ8RY49COiIF2QFruSDQgVzn_3EnQeRWYvhP6FV51WSfCLgPjOx5RPA-EghMTnhvkyBIZIGc_btGzw7OkA5d44PUVT0Ar7n16SIXq1AqeRrbdO7H8_N2kAcJX_oU4anc_SypTxLOabovpCUaVKoGzcdoqGYGPwDlVGP9iP59npfsYorRrbpnJuDQBAQkMlIBzTKMVc9qmjb5oSvzpHIVrqgPQ84h6Ckfn4mIkhx&refId=5ZLJOkeH2gPAUTSaNIhc1w%3D%3D&trackingId=doRF7Ch6f9vy59kEzh9%2BXA%3D%3D&trk=flagship3_search_srp_jobs
Product Engineer - AI-first (all level),Craft Docs,European Union (Remote),Mechanical Engineer | $100/hr Max Rate,25,15,"AI coding tools experience (Claude Code, Cursor) | Product development experience | Production debugging in product environment | Frontend/full-stack development | User-facing feature development","Should not apply - this is a product engineering role requiring AI-assisted development experience, while the candidate is a research-focused ML engineer without demonstrated product development skills or AI coding tool usage.",https://www.linkedin.com/jobs/view/4389543794/?eBP=BUDGET_EXHAUSTED_JOB&refId=5ZLJOkeH2gPAUTSaNIhc1w%3D%3D&trackingId=8uch7Ed%2BkDWv17KlMEccbQ%3D%3D&trk=flagship3_search_srp_jobs
(Junior) Consultant (all genders) – Advisory/Nachhaltiges Risikomanagement,Deloitte,"Vienna, Vienna, Austria",,25,15,Financial risk management experience | ESG/sustainability domain knowledge | Banking sector experience | Financial instruments valuation | German language proficiency (A1 is insufficient) | R programming | Economics/finance educational background,Should not apply - this is a domain mismatch where strong ML skills cannot compensate for the complete lack of finance/ESG experience that Deloitte specifically needs.,https://www.linkedin.com/jobs/view/4378173860/?eBP=CwEAAAGdIPNXhpXHhnBkvFzmOal5oev2UvNuQFYS4S1jF5N__SBbMd9P25ieTY9et-tVDzFx1yb5cLkhOP-V9_ZDBWjYae8ZE4zy2DoLIHF9S-G1NaiTFrygiuk42aKKLgT6aUR2gYJFbMwc-zZqk31OMbC_OYNmYDSb3UkB129TmM5zM4YQjo_d4smzlRbCAo_FuAZ8ErKa5N_xneJ2_KwdyjOHtH3mAf6RKPJPQbXT5n-iXDNCUqAqPV1zTL5mwl4UC7I1pVATnP35yLDN1jpKTJMVziHEicj2nGqheMHCa94NlxjFxBfgAJZTc_0VHFlQJQOpeFc_fzOWIf2Q2ciSZ_clq1LePr57RZPG-2wBYdK6VFML4aqZ9JJdBUdrUeaYCUucunSKsNy3gJg-Cu-m-83fNU38js2DX5hxMKbhpg6lm1iIe2u1JmSXiQlqRR7aJLGbZAU6A8ptxhTS2yjiGm2d1UtdPCLU3cD8JhSnYknSQwKiqgEY7upvveZ1TKiYPbqEihHJzz4BjhbuxsyyoaRWUeK0ss4y6O21&refId=WmGXFfng1onl9Hiup%2ByEJA%3D%3D&trackingId=ujlAJ5MZ2MeAkU%2Bpkjhg5A%3D%3D&trk=flagship3_search_srp_jobs
Delivery Operations Analyst,Jobs Ai,"Vienna, Austria (Hybrid)",,25,5,Logistics/delivery operations experience | German B2+ proficiency | Operations optimization | Business performance metrics | Network optimization | Root-cause analysis for operational issues,"Do not apply - this is a significant career pivot requiring German B2+ fluency, and the candidate's advanced ML expertise doesn't align with basic operations analysis needs.",https://www.linkedin.com/jobs/view/4389486907/?eBP=CwEAAAGdIPOqceKHsQ354uC-gmP3QBtDfTWS8REm4p4ZM1n3WeIK527_4V5pcupQ2xIyiTuHb7plJYtuf-pZmvw1qN_3pzr8SIk5R_jnif_ZNxtk2n5pxYQpxvINnOQLRFTMygz6aJ4bpCezamVYHaFP4Yvll9zDv84Xtc6tBDj79D0C8oL-1Xd-3y3p58Sb7NounYCS1sooFsD-somCgXEzfpohjp9cPfGhM3FJ4N_UJo23MFaai0LIxxfQlO3MHETNjBDLABlTWVKSwES_b0dzZdrKch_8CPxoz8Zla_LKy0Vgk2x5dYAE0g80-3uCkM_za2kWtagmGstyHoba93aeHJpn2Fok0mt3-YVh95kb2EC8Q8Qgii96NlWjeNzwANRkk2XpRyJhm2mZQdtpFsiefH0c1jsFtHsyK880v2gnbbdAmFE12JodX5RPM33j9M7oH8ghSDFiH_RIyWLRKRvhgnl15ZI3ZISr5R2E6g3FhiHxgFliMqkLsedHqcVaXsygCe7lFohOwQPwAmSWcvRCFDgNhiJCzUaIo1tGAN8in6r9VXY&refId=zPTSCScEGOwHD1tJg5ymsA%3D%3D&trackingId=YiNT9BR%2BNniRvL9jpkGPfw%3D%3D&trk=flagship3_search_srp_jobs
Last-Mile Operations Analyst,Jobs Ai,"Vienna, Austria (Hybrid)",,25,5,Logistics/delivery operations experience | German B2+ proficiency | Business/operations analysis experience | Routing optimization | Network performance metrics,"Should not apply - this is a severe role mismatch requiring logistics experience and B2+ German, neither of which the candidate has.",https://www.linkedin.com/jobs/view/4389708007/?eBP=BUDGET_EXHAUSTED_JOB&refId=RndFl02k13igh093b02ZUA%3D%3D&trackingId=PGTvmhNrCaKGYHSA4HlFyA%3D%3D&trk=flagship3_search_srp_jobs
Bilingual STEM Consultant – German Specialist,Mercor,"Vienna, Vienna, Austria (Remote)",Compensation: $38–$43/hour,25,15,Native German fluency | Biology/Physics/Chemistry degree | German STEM curriculum knowledge | Teaching experience | Prompt engineering experience,Don't apply - the native German requirement and Biology/Physics/Chemistry degree are non-negotiable qualifications you don't meet.,https://www.linkedin.com/jobs/view/4387536139/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=RndFl02k13igh093b02ZUA%3D%3D&trackingId=KLHkKeWEqEhhdzaEfjxQ0g%3D%3D&trk=flagship3_search_srp_jobs
DevOps Engineer @ Flightkeys Gmbh,DEVjobs,"Vienna, Austria (Hybrid)","Competitive salary: €65,000 – €80,000 annually (depending on experience).",25,15,PostgreSQL database administration | 24/7 production system maintenance | AWS cloud deployment | Kubernetes | DevOps/SRE experience | Third-level support experience,"Should not apply - this is a complete career pivot from ML research to DevOps infrastructure with no relevant production systems experience, and Austrian companies typically hire DevOps engineers with direct infrastructure backgrounds.",https://www.linkedin.com/jobs/view/4389590107/?eBP=CwEAAAGdIPP7SGgpr2Qmo5WTJU4lfIylcGnhLkLgTEMCYmN6QcSug7xINhEQtGNA_oSzzq-weGgmuvVKlB5MilIjMIJB-R-f_gjiCwdsPM0asW7DFgZqZ4Im8xuWt_FVT41_pTR3oMUPikyQu5pjonQAYxXZQjdJQtIU4QuyXJdi63_xrxv44pVqfSXS34VdUfhNEfQvc0Lo5jEKyXFwVixvzEcpiGJdUWwKx_gL4ItvjKVHgogZLQKZPkBoTYTUiXAAVhk6ssXpZTh7CM5xxx_CAf5CRunJxS3oPfIVtz1WGcoqnb_Y_l-rzn7vAo6CUsjVnmXv79iwW5r607nOuarK2GTv3_IaYRezdlOIZCnqfp3dCTpr4HbUIIcypN6A0xxX3OVZNNiQCMU-Ykrvnr4mnBMOQaw-t05TyLEixrz4dvaHzjhpZmNWSi18wunDfXjkoZUoMwULIS5KjAaZkm43aGZVXSTM0QrH9s5AsnPn-yC-2gPvasSZmN0q7sL5-W5Q-_cfaeFNVmUwM_Ni3qDGwuSHKs4rE2cd7lQp&refId=RndFl02k13igh093b02ZUA%3D%3D&trackingId=1CYWP0Mw9ex6idrEc7thbg%3D%3D&trk=flagship3_search_srp_jobs
